geneID	control_1	control_2	control_3	OPDA_1	OPDA_2	OPDA_3
kfl00063_0220	61.600262	78.541779	72.397568	81.632515	81.875908	78.596771
kfl00063_0230	0	0	0	0	0	0
kfl00063_0240	4.071568	4.337098	3.952411	3.49399	2.742517	5.566043
kfl00063_0250	0	0	0	0	0	0
kfl00063_0260	0	0	0	0	0	0
kfl00063_0265	1.111184	1.588065	2.301867	0.76531	1.807572	1.742849
kfl00063_0270	0.083888	0	0.089818	0	0.078195	0.070692
kfl00063_0280	0	0	0	0	0	0
kfl00063_0290	21.294353	25.168312	26.503878	24.029308	24.96703	24.743179
kfl00063_0300	19.526945	20.298508	18.159739	17.907553	19.627989	15.930692
kfl00063_0310	20.47571	20.869364	20.648705	21.874754	19.300409	20.022758
kfl00063_0320	9.080701	8.981632	10.351023	7.423893	8.833712	10.443448
kfl00063_0330	0	0	0	0	0	0
kfl00063_0340	0	0	0	0	0	0
kfl00063_0350	0	0	0	0	0	0
kfl00063_0360	24.560005	26.593128	24.862814	26.097179	23.507349	27.66007
kfl00063_g2	23.138523	12.743602	17.397793	11.247352	9.023812	10.096282
kfl00063_g37	0	0	0	0	0	0
kfl00063_g6	50.240814	49.384258	50.014008	44.322384	39.528553	48.390774
kfl00064_0010	39.922794	34.54216	36.145596	42.968834	46.055374	42.506638
kfl00064_0020	6.918504	7.321406	8.490276	10.899335	12.272326	14.322696
kfl00064_0030	14.469453	15.195761	14.936459	18.443829	18.633015	19.82568
kfl00064_0040	37.220829	34.727844	31.741789	11.583707	12.895609	15.089909
kfl00064_0050	24.270784	23.375378	24.057318	26.881399	26.463915	27.106638
kfl00064_0060	40.668713	43.925327	42.898125	42.683479	43.07032	46.545593
kfl00064_0070	53.396881	58.681435	58.175961	33.517208	33.382683	34.56123
kfl00064_0080	45.786728	48.37421	51.001129	52.550053	50.910942	51.274536
kfl00064_0090	5.603204	3.196619	4.236144	3.040143	3.32662	2.631593
kfl00064_0100	0.330957	0.148071	0.380339	0.094451	0.093469	0
kfl00064_0110	27.841484	28.249413	26.894932	23.798126	26.321068	24.369513
kfl00064_0120	10.279541	11.669217	10.680826	5.107572	5.576283	5.590304
kfl00064_0130	20.898958	18.740713	16.393738	12.02431	11.543027	21.176741
kfl00064_0140	10.416204	10.427726	11.423353	4.161677	3.868184	4.64986
kfl00064_0150	75.127205	69.518379	75.366478	47.229168	48.487526	51.162102
kfl00064_0170	0	0	0	0	0	0
kfl00064_0180	23.927111	24.383028	27.96788	23.468264	21.319504	23.094666
kfl00064_0190	8.553484	12.176988	10.547959	6.879456	5.813006	6.017756
kfl00064_0200	68.130325	67.87738	67.240875	64.737595	61.771	62.187893
kfl00064_0210	9.807361	9.675566	9.846367	8.188375	9.170528	9.456043
kfl00064_0220	212.626999	198.901047	217.142624	147.25325	113.338104	114.099083
kfl00064_0230	548.695862	524.754578	503.659851	537.303833	511.500916	497.691223
kfl00064_0240	66.899513	76.457359	78.840157	64.748894	61.026814	64.865288
kfl00064_0250	25.949581	28.218031	26.675743	26.333075	24.861238	24.279654
kfl00064_0260	23.570007	23.959991	24.244188	21.835585	21.187256	23.340954
kfl00064_0270	33.494896	36.620163	32.784821	27.677542	24.415924	25.716381
kfl00064_0280	34.470226	33.558147	36.708897	37.047104	43.913586	37.749523
kfl00064_0290	5.696914	5.717881	5.272683	3.323341	3.607453	3.261877
kfl00064_0300	14.00745	14.199132	16.172752	10.395338	10.334709	12.00404
kfl00064_0310	20.319746	18.644281	17.967707	16.757019	15.441558	16.615757
kfl00064_0320	4.344812	4.248064	4.337657	3.014501	3.248918	3.038975
kfl00064_0330	0	0	0	0	0	0
kfl00064_0340	0	0	0	0	0	0
kfl00065_0010	0	0	0	0	0	0
kfl00065_0020	33.908806	39.33057	37.392296	32.528248	39.332165	38.553291
kfl00065_0030	5.640313	5.533791	5.100111	5.377624	5.964812	5.671894
kfl00065_0040	0	0	0	0	0	0
kfl00065_0050	0	0	0	0	0	0
kfl00065_0060	12.683053	12.494908	11.135117	11.49698	13.740199	14.159909
kfl00065_0070	25.850561	23.596882	24.526844	16.578777	14.950406	15.264702
kfl00065_0080	14.634513	14.050284	14.025385	14.773377	14.267162	13.172652
kfl00065_0090	4.343028	5.178316	4.630119	1.411345	1.588748	1.297416
kfl00065_0100	25.761463	29.069866	25.980625	24.138554	23.458073	26.024828
kfl00065_0110	0	0.065041	0	0	0	0
kfl00065_0120	0	0	0	0	0	0
kfl00065_0130	19.675755	22.929914	18.501324	22.631378	23.703884	23.85549
kfl00065_0140	25.951471	24.196468	24.111341	32.134533	28.779066	31.169411
kfl00065_0150	15.679404	13.363817	13.607875	6.437919	6.19949	8.166789
kfl00065_0160	11.096093	11.895908	11.828137	10.012719	11.779986	9.780342
kfl00065_0170	31.413048	31.807638	38.151196	23.883036	23.403551	23.520567
kfl00065_0180	52.585522	54.500923	51.508286	46.960838	44.104771	43.13813
kfl00065_0190	69.580826	70.975372	74.207649	62.138046	68.15377	59.314262
kfl00065_0200	34.690502	42.024811	40.859837	41.108624	34.646576	38.720993
kfl00065_0210	42.974354	24.708643	23.70583	39.002331	40.315704	41.346779
kfl00065_0220	5.049228	1.385969	1.722804	9.795875	11.621963	13.654092
