geneID	LL_1	LL_2	HL_1	HL_2
kfl00006_0480	4.821279	4.475485	12.106744	9.801629
kfl00006_0490	2.481794	3.380826	0.539427	0
kfl00006_0500	10.060237	8.823868	6.371804	7.519792
kfl00006_0510	1.68347	2.726471	1.186959	1.884395
kfl00006_0520	20.593016	19.363022	20.214989	21.83485
kfl00006_0530	0	0	0	0
kfl00006_0540	0	0	0	0
kfl00006_0550	52.175705	54.572624	35.029629	37.680561
kfl00006_0560	11.856624	10.988382	5.216168	6.160361
kfl00006_0580	0	0	0	0
kfl00006_0590	37.551006	36.212654	15.87726	9.083411
kfl00006_0600	1.494624	1.019429	0.485685	0.620963
kfl00006_0610	6.783508	9.211926	9.716835	6.980709
kfl00006_0620	0	0	0	0
kfl00006_0630	0	0	0	0
kfl00006_0640	0	0	0	0
kfl00006_0650	0	0	0	0
kfl00006_0660	0.995927	2.120507	0	0
kfl00006_0670	25.076353	25.361473	44.383965	52.62326
kfl00006_0680	0	0	0	0
kfl00006_0700	36.549374	42.670937	21.569347	16.837534
kfl00006_0710	98.804886	102.236145	190.935318	214.925186
kfl00006_0720	10.770178	7.317365	1.688834	1.678289
kfl00006_0730	18.3263	20.38423	51.275631	58.649803
kfl00006_0740	28.275282	31.107552	69.437912	70.486618
kfl00006_0750	3.902096	6.709021	9.480753	10.715852
kfl00006_0760	51.306599	60.961311	57.097279	50.311295
kfl00006_0770	231.068237	228.892563	157.69986	171.001846
kfl00006_0780	9.780131	4.911945	5.16584	4.100341
kfl00006_0790	0.596662	0.77203	1.878407	2.496576
kfl00006_0800	8.353091	11.639114	8.466234	9.37487
kfl00006_0810	13.44206	27.632017	21.580311	18.115957
kfl00006_0820	23.92728	18.279684	22.7402	24.993528
kfl00006_0830	26.301884	24.845724	17.560753	14.639919
kfl00006_0840	13.584304	13.631473	4.573654	3.697001
kfl00006_0850	11.362905	12.651392	20.609776	19.694567
kfl00006_0860	21.399038	17.80106	35.68721	35.004116
kfl00006_0870	27.236441	23.917511	12.646628	15.459363
kfl00006_0880	0	0	0	0
kfl00006_0890	0	0	0	0
kfl00006_0900	14.43298	14.972709	11.443519	11.624219
kfl00006_0910	0	0	0	0
kfl00006_0920	0	0	0	0
kfl00006_0930	0	0	0	0
kfl00006_0950	0	0	0	0
kfl00006_0960	0	0	0	0
kfl00006_g22	66.169212	104.111099	44.719292	35.826237
kfl00006_g49	0	0	0	0
kfl00007_0010	0	0	0	0
kfl00007_0020	0.208613	0	0	0
kfl00007_0030	0.248954	0.024957	0.157389	0.015628
kfl00007_0040	16.203728	13.335652	38.936325	41.927032
kfl00007_0050	225.977921	221.192719	79.842377	96.508614
kfl00007_0060	0.462729	0.053348	0	0
kfl00007_0070	0.989438	0.947772	0	0
kfl00007_0080	0	0	0	0.409629
kfl00007_0085	0	0	1.664149	1.801701
kfl00007_0090	9.631706	7.993001	8.044396	9.642176
kfl00007_0100	7.459796	10.910604	5.061641	7.26528
kfl00007_0110	272.503357	240.528458	119.308815	96.806816
kfl00007_0120	18.197647	20.302973	3.342125	1.030641
kfl00007_0130	0	0	0	0
kfl00007_0140	0	0	0	0
kfl00007_0150	0	0	0	0
kfl00007_0160	6.123761	4.471416	0.83085	0
kfl00007_0170	0	0	0	0
kfl00007_0180	0	0	0	0
kfl00007_0190	6.778977	6.137106	3.799045	1.545218
kfl00007_0200	3.043701	5.530074	1.07082	2.608675
kfl00007_0210	1.623509	1.093886	0.554426	1.343028
kfl00007_0220	0	0	0	0
kfl00007_0230	14.782633	13.46524	24.3634	30.697271
kfl00007_0240	13.995374	10.50467	4.064323	3.285937
kfl00007_0250	38.269238	35.453964	39.610207	42.346748
kfl00007_0260	7.21771	4.040311	3.15353	4.172053
kfl00007_0270	18.030039	15.152444	9.468678	14.330857
kfl00007_0280	23.565147	22.548	44.837685	49.2621
kfl00007_0290	0	0	0	0
kfl00007_0300	0	0	0	0
kfl00007_0310	0	0	0	0
kfl00007_0320	3.170691	3.804566	2.038389	1.126228
kfl00007_0330	31.230867	36.782524	28.491831	35.023594
kfl00007_0335	0	0	0	0
kfl00007_0340	12.897913	13.80304	6.423348	9.770361
kfl00007_0350	3.774174	1.703469	13.641357	16.088373
kfl00007_0360	57.983631	40.527218	51.034019	51.226082
kfl00007_0370	0	0	0	0
kfl00007_0380	0	0	0	0
kfl00007_0390	7.722142	5.65659	11.724127	11.278028
kfl00007_0400	12.841182	11.033133	26.831388	25.915051
kfl00007_0410	28.730448	26.962952	22.711981	34.35347
kfl00007_0420	28.425116	26.401533	34.23246	34.583145
kfl00007_0430	41.032528	33.070103	36.886627	35.733475
kfl00007_0440	0	0	0	0
